#LFN              Site
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/0000/C441A5A7-44E8-E211-A09A-0023AEFDEC70.root T2_US_Florida
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/0000/E06AD733-4BE8-E211-B02C-0023AEFDEC04.root T2_US_Florida
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/0000/9E4D232D-1AE8-E211-AB86-0023AEFDEC50.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30004/1A5C1313-E085-E211-BE6E-003048D45FA2.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30004/1A5C1313-E085-E211-BE6E-003048D45FA2.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/1054A8BD-AE84-E211-BEE4-003048D476C4.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/1054A8BD-AE84-E211-BEE4-003048D476C4.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/02CA7073-B984-E211-99C5-001E6739850C.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/02CA7073-B984-E211-99C5-001E6739850C.root T1_US_FNAL
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/0000/1087CF8A-32E8-E211-96F6-0023AEFDC1B0.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/20000/5A8CEE1D-2284-E211-82E6-0025B3E06382.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/20000/5A8CEE1D-2284-E211-82E6-0025B3E06382.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30004/F8A4EACC-0486-E211-B98F-0025902008D0.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30004/F8A4EACC-0486-E211-B98F-0025902008D0.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30000/B8F1FAC6-0582-E211-B7B9-001E673972F6.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30000/B8F1FAC6-0582-E211-B7B9-001E673972F6.root T1_US_FNAL
/store/data/Summer12_DR53X/GluGluToAToZhToLLTauTau_mA-280_mh-125_8TeV-pythia6-tauola/AODSIM/PU_S10_START53_V19-v6/00000/00195F6F-26EE-E311-B9DC-0025905A6060.root T2_US_Wisconsin
/store/data/Summer12_DR53X/GluGluToAToZhToLLTauTau_mA-280_mh-125_8TeV-pythia6-tauola/AODSIM/PU_S10_START53_V19-v6/00000/00195F6F-26EE-E311-B9DC-0025905A6060.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30002/EAD56D7E-AA83-E211-8E14-001E673976ED.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30002/EAD56D7E-AA83-E211-8E14-001E673976ED.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/805A7938-8F82-E211-9031-001E6739720B.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/805A7938-8F82-E211-9031-001E6739720B.root T1_US_FNAL
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/0000/F0B552AE-31E8-E211-AEF3-0023AEFDEE5C.root T2_US_Florida
/store/mc/Summer12_DR53X/QCD_Pt-170to300_TuneZ2star_8TeV_pythia6/AODSIM/PU_S10_START53_V7A-v2/00000/B4287671-BC0E-E211-A3C3-0026189438B5.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/B26C5ABE-1385-E211-ADB6-001E67396E1E.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/B26C5ABE-1385-E211-ADB6-001E67396E1E.root T1_US_FNAL
/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/360C0B82-191A-E211-A859-848F69FD4EB6.root T2_US_UCSD
/store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/NoPileUp_DES19_62_V8-v2/30000/32E26068-C71F-E411-9814-0025905A607A.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/D052D016-6485-E211-ADFE-001E6739834A.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/D052D016-6485-E211-ADFE-001E6739834A.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/78338A4F-2085-E211-BF8D-001E67397021.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/78338A4F-2085-E211-BF8D-001E67397021.root T1_US_FNAL
/store/data/Run2012D/DoubleElectron/AOD/PromptReco-v1/000/208/551/D8B3A31B-BD40-E211-854E-001D09F27067.root T2_US_UCSD
/store/data/Run2012D/DoubleElectron/AOD/PromptReco-v1/000/208/551/D8B3A31B-BD40-E211-854E-001D09F27067.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30004/FC0B0748-BC85-E211-935F-001E67397D7D.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30004/FC0B0748-BC85-E211-935F-001E67397D7D.root T1_US_FNAL
/store/hidata/HIRun2013/PAHighPt/RECO/28Sep2013-v1/10001/3E9A1165-312C-E311-98A9-842B2B68833A.root T1_US_FNAL
/store/hidata/HIRun2013/PAHighPt/RECO/28Sep2013-v1/10001/3E9A1165-312C-E311-98A9-842B2B68833A.root T2_US_Vanderbilt
/store/hidata/HIRun2013/PAHighPt/RECO/28Sep2013-v1/10000/C40257E0-EB2B-E311-BFAA-003048F30394.root T1_US_FNAL
/store/hidata/HIRun2013/PAHighPt/RECO/28Sep2013-v1/10000/C40257E0-EB2B-E311-BFAA-003048F30394.root T2_US_Vanderbilt
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/20000/8ABFC574-2784-E211-A3AC-0025B3E063EA.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/20000/8ABFC574-2784-E211-A3AC-0025B3E063EA.root T1_US_FNAL
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/0000/5E31498C-32E8-E211-8D53-0023AEFDEB8C.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30002/2E342CEF-7483-E211-B4C8-002481E75CF0.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30002/2E342CEF-7483-E211-B4C8-002481E75CF0.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/9CBBCBF4-7182-E211-A876-001E67398633.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/9CBBCBF4-7182-E211-A876-001E67398633.root T1_US_FNAL
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/0000/9A4596B6-42E8-E211-AC90-0023AEFDEE84.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/14A412D3-1685-E211-82F0-0025B3E05D74.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/14A412D3-1685-E211-82F0-0025B3E05D74.root T1_US_FNAL
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/0000/540C291D-32E8-E211-B2BD-0023AEFD8A58.root T2_US_Florida
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/0000/142B0171-45E8-E211-A032-0023AEFDEB8C.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/32779830-9384-E211-9B51-001E67397616.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/32779830-9384-E211-9B51-001E67397616.root T1_US_FNAL
/store/data/Run2012D/DoubleElectron/AOD/PromptReco-v1/000/208/427/C0F689AD-393F-E211-AC70-003048D2BA82.root T2_US_UCSD
/store/data/Run2012D/DoubleElectron/AOD/PromptReco-v1/000/208/427/C0F689AD-393F-E211-AC70-003048D2BA82.root T1_US_FNAL
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/0000/82D2C860-41E8-E211-ADB5-0023AEFDEEA4.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/10D164BE-DA82-E211-984A-003048D4770C.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/10D164BE-DA82-E211-984A-003048D4770C.root T1_US_FNAL
/store/hidata/HIRun2013/PAHighPt/RECO/28Sep2013-v1/10000/38A438D1-EF2B-E311-989D-003048CDCC18.root T1_US_FNAL
/store/hidata/HIRun2013/PAHighPt/RECO/28Sep2013-v1/10000/38A438D1-EF2B-E311-989D-003048CDCC18.root T2_US_Vanderbilt
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/0000/6416BED2-4AE8-E211-B88A-0023AEFDEE88.root T2_US_Florida
/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/9A649A24-8826-E211-BAE2-0024E8768C8B.root T2_US_UCSD
/store/hidata/HIRun2013/PAHighPt/RECO/28Sep2013-v1/10000/AA1ED32C-212C-E311-BCAA-003048F1B968.root T1_US_FNAL
/store/hidata/HIRun2013/PAHighPt/RECO/28Sep2013-v1/10000/AA1ED32C-212C-E311-BCAA-003048F1B968.root T2_US_Vanderbilt
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30005/421EBC8F-BA87-E211-BA2C-001E67397751.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30005/421EBC8F-BA87-E211-BA2C-001E67397751.root T1_US_FNAL
/store/mc/Summer12_DR53X/QCD_Pt-170to300_TuneZ2star_8TeV_pythia6/AODSIM/PU_S10_START53_V7A-v2/00000/E8DFE593-B20E-E211-89E6-001A92971B8E.root T1_US_FNAL
/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/52C858FF-F11B-E211-BF67-848F69FD28C2.root T2_US_UCSD
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30002/5C7F46E7-A783-E211-9E9A-003048D47786.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30002/5C7F46E7-A783-E211-9E9A-003048D47786.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30002/C45F72A7-7284-E211-9512-001E67398DE5.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30002/C45F72A7-7284-E211-9512-001E67398DE5.root T1_US_FNAL
/store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/NoPileUp_DES19_62_V8-v2/00000/56DD591E-DB1F-E411-95E5-00248C0BE018.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/20001/2A7CCD06-BC85-E211-BCA1-002590200A18.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/20001/2A7CCD06-BC85-E211-BCA1-002590200A18.root T1_US_FNAL
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau132_pthad1_30had2_30_v1-5ef1c0fd428eb740081f19333520fdc8/0000/EA4FE256-42E8-E211-B40E-0023AEFDEE5C.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30002/48465846-3D84-E211-AD38-001E673974EA.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30002/48465846-3D84-E211-AD38-001E673974EA.root T1_US_FNAL
/store/user/appelte1/HIMinBiasUPC/pixelTrackReco_2011PbPbMinBiasAndUCC_v1/8419974ae222f75edc8619f56eef1e4d/pixeltrackreco_418_1_FTK.root T2_US_Vanderbilt
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/1848F8BC-8D82-E211-9698-003048D476DA.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/1848F8BC-8D82-E211-9698-003048D476DA.root T1_US_FNAL
/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00003/2C0A1317-DD29-E211-A44A-848F69FD483E.root T2_US_UCSD
/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00003/48A11868-D829-E211-B1E5-00266CF27130.root T2_US_UCSD
/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/CE1AC60C-EE1C-E211-95F4-848F69FD294F.root T2_US_UCSD
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/0000/3E28B985-2EE8-E211-8CEB-0023AEFDE8D8.root T2_US_Florida
/store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20001/8E8F26D0-517E-E211-9D92-003048CF9E38.root T2_US_Wisconsin
/store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20001/8E8F26D0-517E-E211-9D92-003048CF9E38.root T1_US_FNAL
/store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20001/8E8F26D0-517E-E211-9D92-003048CF9E38.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/82E6A7E7-BE82-E211-ACDC-003048D45F38.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/82E6A7E7-BE82-E211-ACDC-003048D45F38.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30000/78E58DCB-6A81-E211-8EEE-0025B3E05DDA.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30000/78E58DCB-6A81-E211-8EEE-0025B3E05DDA.root T1_US_FNAL
/store/results/tau-pflow/DoubleMuParked/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/DoubleMuParked/USER/StoreResults-Run2012C_22Jan2013_v1_PFembedded_trans1_tau122_ptmu1_18mu2_8_v1-5ef1c0fd428eb740081f19333520fdc8/0000/009C68EF-1BE8-E211-A1BB-0023AEFDE694.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30004/02209D08-1E86-E211-B328-00304867406E.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30004/02209D08-1E86-E211-B328-00304867406E.root T1_US_FNAL
/store/mc/GEM2019Upg14DR/QCD_Pt-15to3000_Tune4C_Flat_14TeV_pythia8/AODSIM/NoPileUp_DES19_62_V8-v2/30000/0ECB3519-CD1F-E411-B491-002354EF3BDD.root T1_US_FNAL
/store/mc/Summer12_DR53X/QCD_Pt-170to300_TuneZ2star_8TeV_pythia6/AODSIM/PU_S10_START53_V7A-v2/00000/A47E676B-C20E-E211-9291-0030486790C0.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/30A6FD62-9982-E211-930E-003048673F9C.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/30A6FD62-9982-E211-930E-003048673F9C.root T1_US_FNAL
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/4CC2003F-D282-E211-979E-0025B3E05D50.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30001/4CC2003F-D282-E211-979E-0025B3E05D50.root T1_US_FNAL
/store/hidata/HIRun2013/PAHighPt/RECO/28Sep2013-v1/10001/D071843C-322C-E311-8EBF-00A0D1E952E8.root T1_US_FNAL
/store/hidata/HIRun2013/PAHighPt/RECO/28Sep2013-v1/10001/D071843C-322C-E311-8EBF-00A0D1E952E8.root T2_US_Vanderbilt
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/5201D2C0-2885-E211-AE84-0025B3E05D82.root T2_US_Florida
/store/data/Run2012D/SinglePhotonParked/AOD/22Jan2013-v1/30003/5201D2C0-2885-E211-AE84-0025B3E05D82.root T1_US_FNAL
