# Site          StartTime     WallTime     CPUtime         Files   PercRead
T2_US_Florida 1411301050 51437 50777 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/30001/220C4F0D-1180-E211-98C7-003048F0094E.root,/store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/30001/3E9A8B73-0A80-E211-9FB4-003048F11DE0.root,/store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/30001/FAB2772E-2080-E211-AD85-001E670DDDA4.root 100
T2_US_Wisconsin 1411301700 50976 49329 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20000/A0981FF8-987D-E211-83B9-003048CFC628.root,/store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20000/C681A596-977D-E211-86C0-003048FEB8EE.root 100
T2_US_Wisconsin 1411301707 63884 62491 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20000/222AFD07-7A7D-E211-A097-0025901E3E70.root,/store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20000/22BFC17B-7A7D-E211-9165-003048F649B2.root 100
T2_US_Nebraska 1411302346 66332 64543 /store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20001/AC90A790-6E7E-E211-8A9F-002481E0D906.root,/store/data/Run2012B/SingleElectron/AOD/22Jan2013-v1/20001/0E10C2D0-697E-E211-9236-003048F16B7A.root 100
T2_US_Wisconsin 1411305996 53157 11140 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/C8A0218E-B327-E211-A4BD-848F69FD292B.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/7AD27B31-B427-E211-875E-0024E8768258.root 100
T2_US_UCSD 1411318566 29675 28410 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/EC0B6826-891B-E211-950A-00266CF9BEE4.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/DAFAE101-751B-E211-8208-00266CF27170.root 100
T2_US_UCSD 1411318567 34692 29554 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/BE7E9635-201B-E211-A10F-00266CF1027C.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/EE17C198-731B-E211-8D0D-00A0D1EEE300.root 100
T2_US_Nebraska 1411318575 28635 26910 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/22DAF5D6-731B-E211-939F-00A0D1EE965C.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/987FE339-761B-E211-A907-0024E876804B.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/545C9996-341B-E211-A6D9-00A0D1EEE3B0.root 100
T2_US_Wisconsin 1411318583 32391 602 /store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0001/FE0AB273-53D0-E211-A257-00304867C026.root,/store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0001/EC44273B-80D0-E211-89B8-00259059642A.root,/store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0000/465B1046-49D0-E211-8999-003048FF9AC6.root,/store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0000/58ACEB4C-7CD0-E211-80BB-0026189438B1.root,/store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0000/72716FE2-42D0-E211-AC8E-0030486790A6.root,/store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0001/10942D85-58D0-E211-9F57-003048B835A2.root,/store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0001/18C47407-7AD0-E211-A1C1-002590596498.root,/store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0000/36258440-3AD0-E211-B78D-00261894392C.root 100
T2_US_Wisconsin 1411318584 36991 2532 /store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0001/30EF713D-81D0-E211-9DE7-0026189438CC.root,/store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0000/CC659DEE-6ED0-E211-B11A-003048678B7C.root,/store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0000/C6AA2A74-36D0-E211-8A2F-0026189438DB.root,/store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0000/2672470B-33D0-E211-ADD9-003048D15E02.root,/store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0000/38F1FF21-73D0-E211-9980-00304867BFC6.root,/store/results/B2G/SingleMu/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/SingleMu/USER/StoreResults-V2-Run2012C-22Jan2013-v1_TLBSM_53x_v3-db7dd8e58134469d4e102fe8d5e205b6/0000/10F434BB-7ED0-E211-82C1-002618943899.root 100
