(time-1423531206)/3600.	SUM(QUEUED)	SUM(RUNNING)	SUM(DONE)
5.58333333333333	66831	19892	27175
5.66666666666667	66531	19865	27502
5.75	66204	19794	27900
5.83333333333333	65806	19781	28311
5.91666666666667	65606	19480	28812
6	65546	19037	29315
6.08333333333333	65469	18697	29732
6.16666666666667	65385	18361	30152
6.25	65280	18088	30530
6.33333333333333	65190	17827	30881
6.41666666666667	65099	17569	31230
6.5	65013	17358	31527
6.58333333333333	64922	17255	31721
6.66666666666667	64839	17139	31920
6.75	64738	17054	32106
6.83333333333333	64643	16962	32293
6.91666666666667	64541	16885	32472
7	64424	16817	32657
7.08333333333333	64300	16760	32838
7.16666666666667	64183	16680	33035
7.25	64053	16581	33264
7.33333333333333	63931	16497	33470
7.41666666666667	63807	16423	33668
7.5	63713	16314	33871
7.58333333333333	63606	16220	34072
7.66666666666667	63475	16180	34243
7.75	63372	16108	34418
7.83333333333333	63252	15986	34660
7.91666666666667	63093	15934	34871
8	62948	15841	35109
8.08333333333333	62787	15787	35324
8.16666666666667	62651	15680	35567
8.25	62499	15615	35784
8.33333333333333	62380	15514	36004
8.41666666666667	62237	15442	36219
8.5	62096	15369	36433
8.58333333333333	61947	15299	36652
8.66666666666667	61804	15213	36881
8.75	61640	15163	37095
8.83333333333333	61492	15086	37320
8.91666666666667	61332	15021	37545
9	61192	14957	37749
9.08333333333333	61058	14880	37960
9.16666666666667	60919	14780	38199
9.25	60758	14724	38416
9.33333333333333	60608	14623	38667
9.41666666666667	60447	14520	38931
9.5	60283	14463	39152
9.58333333333333	60147	14345	39406
9.66666666666667	59962	14309	39627
9.75	59803	14180	39915
9.83333333333333	59588	14111	40199
9.91666666666667	59362	14077	40459
10	59167	14082	40649
10.0833333333333	59037	14034	40827
10.1666666666667	58910	13971	41017
10.25	58768	13930	41200
10.3333333333333	58635	13848	41415
10.4166666666667	58472	13802	41624
10.5	58322	13792	41784
10.5833333333333	58200	13733	41965
10.6666666666667	58072	13693	42133
10.75	57931	13650	42317
10.8333333333333	57787	13607	42504
10.9166666666667	57653	13549	42696
11	57511	13494	42893
11.0833333333333	57359	13452	43087
11.1666666666667	57202	13432	43264
11.25	57065	13407	43426
11.3333333333333	56928	13363	43607
11.4166666666667	56777	13331	43790
11.5	56630	13241	44027
11.5833333333333	56423	13238	44237
11.6666666666667	56232	13200	44466
11.75	56029	13183	44686
